object,state
bowl,oatmeal[dry]
bowl,oatmeal+raisins+banana 
bowl,oatmeal+raisins 
bowl,oatmeal+raisins+banana+cinnamon+honey 
bowl,oatmeal+raisins+banana+cinnamon 
bowl,oatmeal+water 
bowl,empty 
bowl,oatmeal[cooked]    
mug,tea-bag 
mug,tea-bag+water 
mug,dripper+filter+coffee[dry]
mug,dripper+filter+coffee[drained]
mug,dripper+filter 
mug,dripper+filter+coffee[wet]
mug,dripper[empty]
mug,empty 
mug,water 
plate,empty 
plate,with-food  
tortilla,nutella 
tortilla,pb+jelly 
tortilla,nutella+banana 
tortilla,plain 
tortilla,peanut-butter 
tortilla,in-package 
tortilla,rolled 
tortilla,cut 
tortilla,sliced 
tortilla,ends-cut 
tortilla,nutella+banana+cinnamon 
tortilla,folded 
tortilla,rolled+toothpicks 